area,depth,baseline,season,season_year,n_hw_days,cum_intensity,mean_intensity,max_intensity,n_events,mean_duration,max_duration,mean_peak_intensity,max_peak_intensity,mean_event_severity,mean_gap_days_between_events,median_gap_days_between_events,n_hw_days_u,cum_intensity_u,delta_n_hw_days_unsmoothed,delta_cum_intensity_unsmoothed,n_hw_days_p2p5,n_hw_days_p50,n_hw_days_p97p5,cum_int_p2p5,cum_int_p50,cum_int_p97p5
SD22,bottom,A,DJF,1950,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1950,16,2.4536116179616947,0.15335072612260592,0.3076591589450999,2,8,8,0.24821771204559973,0.3076591589450999,1,16,16,7,0.8345369921596983,9,1.6190746258019963,3,16,33,0.32914269779052513,2.268107163221795,5.409844046686032
SD22,bottom,A,MAM,1950,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1950,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1951,17,3.1429335709194612,0.18487844534820358,0.4124985032074102,2,8.5,9,0.3066893442622951,0.4124985032074102,1,27,27,22,5.046647683535279,-5,-1.903714112615818,3,17,35,0.26539615288667984,2.885056771204565,7.089882902708466
SD22,bottom,A,JJA,1951,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1951,21,3.075887241625102,0.1464708210297668,0.34518923734854035,3,7,10,0.15291603706343673,0.34518923734854035,1,14,14,32,3.720329722024272,-11,-0.64444248039917,7,21,38,0.34981555951533133,2.8393125445474015,7.13913742159659
SD22,bottom,A,SON,1951,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1952,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1952,14,2.0841352815394973,0.1488668058242498,0.3977406985032008,2,7,7,0.28326607270135096,0.3977406985032008,1,15,15,5,0.7163006414824995,9,1.3678346400569978,2,13,29,0.1525813649322796,1.9477851389878964,4.886548207412451
SD22,bottom,A,MAM,1952,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1952,7,1.065951746258099,0.15227882089401415,0.2455843193157996,1,7,7,0.2455843193157996,0.2455843193157996,1,NA,NA,7,0.9050517462580991,0,0.16089999999999982,0,6,19,0,0.9885524590164998,2.949206484319569
SD22,bottom,A,DJF,1953,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5,0.14238602993584948,-5,-0.14238602993584948,0,0,0,0,0,0
SD22,bottom,A,JJA,1953,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1953,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1953,8,0.754841553813252,0.0943551942266565,0.18086821097648098,1,8,8,0.18086821097648098,0.18086821097648098,1,NA,NA,0,0,8,0.754841553813252,0,7,22,0,0.7029655024946528,2.2061948360655688
SD22,bottom,A,DJF,1954,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1954,12,3.260579828938006,0.2717149857448338,0.3727117605131891,1,12,12,0.3727117605131891,0.3727117605131891,1,NA,NA,12,3.4004798289380087,0,-0.13990000000000258,0,11,28,0,2.939834853884552,7.755447542765537
SD22,bottom,A,MAM,1954,72,17.282981111903048,0.24004140433198679,0.6594369208838202,2,36,59,0.42075399144690007,0.6594369208838202,1,4,4,72,19.164759657875948,0,-1.8817785459728995,52,72,87,8.298703152173848,16.873201140413407,27.034552811831794
SD22,bottom,A,SON,1954,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1955,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1955,23,6.450258517462801,0.2804460224983827,0.5152902352102995,3,7.666666666666667,9,0.4369815157995003,0.5152902352102995,1,6.5,6.5,18,4.447693941553901,5,2.0025645759089006,8,23,40,1.8963696258019582,6.204831789023697,12.339918613685361
SD22,bottom,A,MAM,1955,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1955,8,1.3327813257306307,0.16659766571632884,0.4076963649323009,2,4,5,0.3113766571632306,0.4076963649323009,1,32,32,7,1.354942765502532,1,-0.022161439771901215,0,8,19,0,1.3205266571633025,3.083457036707165
SD22,bottom,A,DJF,1956,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1956,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1956,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1956,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1957,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1957,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1957,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1957,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1958,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1958,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1958,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1958,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1959,11,1.1353431218816699,0.10321301108015181,0.19589992872415962,1,11,11,0.19589992872415962,0.19589992872415962,1,NA,NA,12,1.8564913756236496,-1,-0.7211482537419798,0,10,27,0,1.0329062722736997,2.842714347826057
SD22,bottom,A,JJA,1959,50,18.745588168210883,0.3749117633642176,0.7013637918746003,2,25,44,0.5525820028510502,0.7013637918746003,1,6,6,37,16.51457291518159,13,2.2310152530292946,28,50,70,8.910287056307768,18.62368713471126,29.40936747861712
SD22,bottom,A,MAM,1959,2,0.13733292943692987,0.06866646471846494,0.09615495367070981,1,2,2,0.09615495367070981,0.09615495367070981,1,NA,NA,2,0.21293292943693043,0,-0.07560000000000056,0,2,6,0,0.13733292943692987,0.4119987883107896
SD22,bottom,A,SON,1959,48,24.270039272986622,0.5056258181872214,0.8242654312187998,1,48,48,0.8242654312187998,0.8242654312187998,1.1666666666666667,NA,NA,47,23.329486457591017,1,0.9405528153956055,24,48,71,10.363526974340889,23.504253064861143,38.46857127940188
SD22,bottom,A,DJF,1960,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1960,6,0.8352622950818986,0.13921038251364978,0.14942280826800136,1,6,6,0.14942280826800136,0.14942280826800136,1,NA,NA,0,0,6,0.8352622950818986,0,6,17,0,0.8290943692087982,2.366793937989833
SD22,bottom,A,MAM,1960,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
