Net1	Net2	Net3	Net4
2657	2935	2719	3007
2936	2758	2582	2849
2848	2688	2575	2520
3103	2782	2757	2900
2764	2701	2717	2557
2838	2723	2698	2882
2886	2869	2966	2996
2891	2542	2777	2533
2870	2684	2574	2569
2883	2829	2745	2873
2834	2990	2787	2843
3264	2989	2520	2868
3092	2590	2443	2924
2857	2944	2765	2509
2808	2898	2536	2973
2612	3118	2859	2876
3190	2698	2567	2739
2815	3040	2916	2895
3171	2966	2826	2714
2604	2779	2758	2926
2893	2909	2655	2529
3268	2597	2565	2820
2597	2815	2904	2513
2887	2966	2565	2667
