Net	weight
1	2657
1	2936
1	2848
1	3103
1	2764
1	2838
1	2886
1	2891
1	2870
1	2883
1	2834
1	3264
1	3092
1	2857
1	2808
1	2612
1	3190
1	2815
1	3171
1	2604
1	2893
1	3268
1	2597
1	2887
2	2935
2	2758
2	2688
2	2782
2	2701
2	2723
2	2869
2	2542
2	2684
2	2829
2	2990
2	2989
2	2590
2	2944
2	2898
2	3118
2	2698
2	3040
2	2966
2	2779
2	2909
2	2597
2	2815
2	2966
3	2719
3	2582
3	2575
3	2757
3	2717
3	2698
3	2966
3	2777
3	2574
3	2745
3	2787
3	2520
3	2443
3	2765
3	2536
3	2859
3	2567
3	2916
3	2826
3	2758
3	2655
3	2565
3	2904
3	2565
4	3007
4	2849
4	2520
4	2900
4	2557
4	2882
4	2996
4	2533
4	2569
4	2873
4	2843
4	2868
4	2924
4	2509
4	2973
4	2876
4	2739
4	2895
4	2714
4	2926
4	2529
4	2820
4	2513
4	2667
