Year;Recruitment_age0_thousands;R_97_5;R_2_5;SSB_tonnes;SSB_97_5;SSB_2_5;Catches_tonnes;F_Age_2_6;F_97_5;F_2_5;F0_1
1947;30071800;53283700;16971700;5053928;6928510;3686533;581760;0.133;0.188;0.095;0.001
1948;28894500;48563900;17191700;4303832;5848311;3167235;502100;0.121;0.167;0.087;0.001
1949;24268100;40371800;14587900;3894427;5238007;2895484;508500;0.147;0.20;0.107;0.001
1950;34766200;56698800;21317800;3665193;4838130;2776619;491700;0.155;0.21;0.115;0.004
1951;33727200;54572100;20844400;3251942;4238351;2495104;600400;0.21;0.27;0.157;0.013
1952;33639500;54046100;20938000;3077101;3982241;2377693;664400;0.23;0.30;0.175;0.024
1953;38343500;59701100;24626400;2856302;3691057;2210332;698500;0.24;0.31;0.187;0.037
1954;35812300;55570200;23079400;2609745;3394834;2006216;762900;0.29;0.38;0.22;0.057
1955;30461100;46986600;19747700;2622802;3398831;2023957;806400;0.26;0.34;0.20;0.067
1956;22436500;34636100;14533800;2539678;3285676;1963056;675200;0.26;0.34;0.199;0.075
1957;51846200;80707700;33305700;2301055;2978491;1777697;682900;0.28;0.36;0.21;0.082
1958;22052400;33768000;14401400;1955221;2528868;1511700;670500;0.26;0.33;0.199;0.083
1959;25467700;40121500;16166000;2842585;3662847;2206014;784500;0.31;0.40;0.24;0.119
1960;11051100;17200100;7100330;2450744;3149406;1907072;696200;0.25;0.32;0.198;0.109
1961;48058000;74551300;30979600;2474660;3136672;1952369;696700;0.28;0.35;0.22;0.113
1962;25392200;38671600;16672800;1724924;2213807;1344003;627800;0.32;0.41;0.25;0.075
1963;30988900;46945900;20455700;2736919;3414597;2193736;716000;0.192;0.24;0.155;0.067
1964;31239200;47026000;20752000;2485314;3002426;2057265;871200;0.30;0.36;0.25;0.11
1965;15440000;23249900;10253500;1974361;2343324;1663492;1168800;0.54;0.63;0.45;0.162
1966;16730000;25048000;11174200;1580290;1860754;1342099;895500;0.50;0.58;0.43;0.144
1967;23323300;35102200;15496900;950824;1107143;816576;695500;0.69;0.80;0.60;0.165
1968;20039900;29897300;13432600;520629;607968;445837;717800;1.09;1.23;0.96;0.301
1969;11449800;17309500;7573780;475250;578854;390190;546700;0.89;1.02;0.78;0.169
1970;20076500;30350000;13280500;453106;552308;371721;563100;0.97;1.10;0.85;0.242
1971;15692800;23459000;10497600;284206;343879;234888;520100;1.43;1.61;1.27;0.327
1972;11583300;17446300;7690580;327352;396555;270226;497500;0.62;0.72;0.54;0.272
1973;6280340;9423690;4185480;277611;332381;231866;484000;0.95;1.08;0.84;0.379
1974;9978170;15211800;6545180;190732;226966;160282;275100;0.91;1.04;0.80;0.339
1975;2307240;3536090;1505440;104860;126574;86872;312800;1.20;1.39;1.04;0.444
1976;2995340;4746320;1890310;142625;187419;108537;174800;0.89;1.13;0.70;0.312
1977;3931620;6391100;2418620;108383;148522;79091;46000;0.34;0.46;0.25;0.105
1978;3799360;6261710;2305300;134648;183095;99021;11000;0.23;0.37;0.148;0.104
1979;6957240;11045200;4382270;183534;238874;141015;25100;0.192;0.31;0.120;0.131
1980;11236700;16760700;7533370;206476;258065;165199;70764;0.169;0.21;0.134;0.174
1981;24626200;36632300;16555100;264828;329903;212589;174879;0.26;0.32;0.21;0.323
1982;41816800;62053100;28179900;376819;463660;306242;275079;0.195;0.24;0.159;0.291
1983;42055000;61436000;28788000;538500;657730;440884;387202;0.28;0.33;0.23;0.311
1984;40864000;59628400;28004600;886674;1084648;724835;428631;0.36;0.43;0.30;0.263
1985;48357000;70695800;33076900;980243;1188236;808657;613780;0.46;0.55;0.39;0.28
1986;57122800;83784900;38945100;1019105;1227859;845842;671488;0.43;0.51;0.36;0.244
1987;50843100;74427900;34731900;1199835;1443850;997059;792058;0.40;0.48;0.34;0.303
1988;31962900;46680200;21885600;1523153;1824399;1271650;887686;0.39;0.46;0.33;0.303
1989;26189800;38200400;17955400;1594280;1855491;1369843;787899;0.38;0.44;0.32;0.294
1990;23887900;34988600;16309100;1747390;2025439;1507511;645229;0.29;0.34;0.25;0.215
1991;26197600;38305500;17916900;1556826;1796440;1349173;658008;0.31;0.37;0.27;0.265
1992;45851100;64659500;32513800;1183038;1368225;1022915;716799;0.37;0.44;0.32;0.343
1993;47243900;66719800;33453100;842643;984167;721471;671397;0.44;0.51;0.37;0.383
1994;36637100;51936100;25844800;893279;1045842;762972;568234;0.43;0.51;0.37;0.305
1995;39726700;56573000;27896900;921745;1086829;781736;579371;0.40;0.48;0.34;0.251
1996;33293200;47280300;23443900;1081389;1273701;918113;275098;0.198;0.24;0.166;0.092
1997;25493100;36251000;17927700;1256233;1473234;1071196;264313;0.186;0.22;0.156;0.049
1998;16863200;23604800;12047000;1445652;1681106;1243176;391628;0.22;0.27;0.188;0.059
1999;48403400;67567200;34675000;1527492;1776453;1313422;363163;0.21;0.24;0.174;0.056
2000;35136700;48853600;25271100;1559786;1810603;1343714;388157;0.21;0.25;0.180;0.06
2001;59443400;83367900;42384600;1931014;2242311;1662934;374065;0.181;0.21;0.152;0.046
2002;30643100;42791200;21943800;2393226;2781612;2059068;394709;0.170;0.20;0.143;0.04
2003;17197300;23949000;12349000;2353746;2718216;2038145;482281;0.196;0.23;0.165;0.044
2004;20154700;28048600;14482500;2324500;2678372;2017382;587698;0.24;0.29;0.21;0.051
2005;17393500;24096100;12555300;2107998;2441562;1820005;663813;0.29;0.35;0.25;0.076
2006;17861100;24833000;12846500;1720058;1988450;1487893;514597;0.25;0.30;0.21;0.062
2007;21272400;29735600;15217900;1361130;1579475;1172968;406482;0.23;0.27;0.192;0.054
2008;19287200;27006100;13774500;1454314;1684926;1255266;257870;0.138;0.164;0.116;0.049
2009;30289000;42409200;21632600;1808956;2098989;1558999;168443;0.072;0.086;0.060;0.028
2010;23553500;32856200;16884700;1930411;2242704;1661605;187611;0.078;0.092;0.065;0.032
2011;20901800;29078400;15024400;2256885;2594457;1963236;226478;0.101;0.119;0.085;0.036
2012;20030900;27870800;14396400;2297843;2641020;1999259;434710;0.183;0.22;0.155;0.054
2013;26488100;37068700;18927500;2100836;2410152;1831217;511416;0.22;0.26;0.184;0.046
2014;40325500;56769100;28645000;2068586;2375065;1801656;517356;0.21;0.25;0.178;0.049
2015;11221200;15766200;7986420;1889923;2175481;1641847;494099;0.22;0.26;0.185;0.046
2016;19906100;27676400;14317300;2161708;2504413;1865899;563610;0.24;0.29;0.20;0.056
2017;12735500;17800100;9111950;2031280;2361760;1747045;498437;0.198;0.24;0.167;0.044
