Number	Length	Weight
1	13.7	13.290
2	13.8	11.199
3	13.9	11.193
4	14.0	11.739
5	14.1	11.870
6	14.1	12.056
7	14.1	12.772
8	14.1	13.183
9	14.2	11.747
10	14.4	14.492
11	14.8	14.676
12	14.8	16.957
13	14.9	12.575
14	14.9	15.858
15	14.9	15.924
16	15.1	15.934
17	15.2	16.443
18	15.3	15.595
19	15.3	16.143
20	15.4	12.017
21	15.4	16.961
22	15.5	15.999
23	15.7	15.389
24	15.8	16.136
25	15.8	17.570
26	15.9	18.168
27	15.9	20.292
28	16.0	17.790
29	16.0	18.095
30	16.0	18.237
31	16.0	19.536
32	16.0	19.679
33	16.1	20.592
34	16.2	17.844
35	16.3	20.123
36	16.4	18.883
37	16.4	19.384
38	16.5	14.544
39	16.5	17.064
40	16.5	18.857
41	16.5	24.190
42	16.6	18.007
43	16.6	19.303
44	16.6	21.568
45	16.7	19.881
46	16.7	20.136
47	16.9	19.317
48	16.9	21.426
49	17.0	16.978
50	17.0	20.201
51	17.2	20.051
52	17.2	23.745
53	17.3	22.177
54	17.3	22.875
55	17.3	23.531
56	17.8	23.823
57	18.0	21.038
58	18.0	23.940
59	18.0	25.177
60	18.1	22.161
61	18.1	23.229
62	18.1	24.177
63	18.3	21.399
64	18.4	24.010
65	18.4	27.212
66	18.5	27.300
67	18.7	24.599
68	18.7	25.881
69	18.8	23.754
70	18.9	24.420
71	19.0	24.093
72	19.0	26.682
73	19.1	26.143
74	19.3	25.881
75	19.3	28.470
76	19.5	21.826
77	19.5	30.485
78	19.9	32.221
79	21.2	31.285
80	21.5	29.619
81	22.2	40.904
