stock_code;year;area;species;R;ssb;landings;F
her.27.6a7bc;1957;West_of_Scotland_West_of_Ireland;Clupea harengus;1215906;356112;37049;0.14
her.27.6a7bc;1958;West_of_Scotland_West_of_Ireland;Clupea harengus;2045187;356468;51175;0.18
her.27.6a7bc;1959;West_of_Scotland_West_of_Ireland;Clupea harengus;3087894;334703;50111;0.18
her.27.6a7bc;1960;West_of_Scotland_West_of_Ireland;Clupea harengus;2215525;390038;41940;0.14
her.27.6a7bc;1961;West_of_Scotland_West_of_Ireland;Clupea harengus;3017683;426343;33423;0.1
her.27.6a7bc;1962;West_of_Scotland_West_of_Ireland;Clupea harengus;3555478;428480;49365;0.14
her.27.6a7bc;1963;West_of_Scotland_West_of_Ireland;Clupea harengus;3308482;459549;39498;0.1
her.27.6a7bc;1964;West_of_Scotland_West_of_Ireland;Clupea harengus;2237792;506358;41606;0.1
her.27.6a7bc;1965;West_of_Scotland_West_of_Ireland;Clupea harengus;6934365;468364;45752;0.11
her.27.6a7bc;1966;West_of_Scotland_West_of_Ireland;Clupea harengus;2285282;717121;89590;0.15
her.27.6a7bc;1967;West_of_Scotland_West_of_Ireland;Clupea harengus;3786679;756910;81227;0.14
her.27.6a7bc;1968;West_of_Scotland_West_of_Ireland;Clupea harengus;4135009;747134;72839;0.12
her.27.6a7bc;1969;West_of_Scotland_West_of_Ireland;Clupea harengus;3817094;705738;98322;0.17
her.27.6a7bc;1970;West_of_Scotland_West_of_Ireland;Clupea harengus;5142243;671991;136216;0.24
her.27.6a7bc;1971;West_of_Scotland_West_of_Ireland;Clupea harengus;7992387;611090;228433;0.4
her.27.6a7bc;1972;West_of_Scotland_West_of_Ireland;Clupea harengus;4139146;693842;158419;0.28
her.27.6a7bc;1973;West_of_Scotland_West_of_Ireland;Clupea harengus;2280716;753135;244507;0.36
her.27.6a7bc;1974;West_of_Scotland_West_of_Ireland;Clupea harengus;2681803;461390;221018;0.49
her.27.6a7bc;1975;West_of_Scotland_West_of_Ireland;Clupea harengus;2937296;288370;147414;0.48
her.27.6a7bc;1976;West_of_Scotland_West_of_Ireland;Clupea harengus;1891726;246225;120934;0.48
her.27.6a7bc;1977;West_of_Scotland_West_of_Ireland;Clupea harengus;1861699;212564;58337;0.29
her.27.6a7bc;1978;West_of_Scotland_West_of_Ireland;Clupea harengus;2094866;207316;38793;0.2
her.27.6a7bc;1979;West_of_Scotland_West_of_Ireland;Clupea harengus;1880409;215993;22449;0.11
her.27.6a7bc;1980;West_of_Scotland_West_of_Ireland;Clupea harengus;2026863;274581;32468;0.13
her.27.6a7bc;1981;West_of_Scotland_West_of_Ireland;Clupea harengus;2887784;319656;70404;0.24
